n,x,monthly_payment,monthly_return,profit_after_yrs,5yrs,10yrs,20yrs,40yrs
2.83,1.8000000000000005,4320.000000000001,4176.15,2.93,103689.0,354258.0,855396.0,1857672.0
2.83,1.9000000000000006,4560.000000000002,4190.32,3.08,96379.2,347798.4,850636.8,1856313.6
2.83,2.0000000000000004,4800.000000000001,4204.49,3.23,89069.4,341338.8,845877.6,1854955.2
2.83,2.1000000000000005,5040.000000000001,4218.65,3.38,81759.0,334878.0,841116.0,1853592.0
2.83,2.2000000000000006,5280.000000000002,4232.82,3.53,74449.2,328418.4,836356.8,1852233.6
2.83,2.3000000000000007,5520.000000000002,4246.99,3.68,67139.4,321958.8,831597.6,1850875.2
2.83,2.400000000000001,5760.000000000002,4261.15,3.83,59829.0,315498.0,826836.0,1849512.0
2.83,2.500000000000001,6000.000000000002,4275.32,3.98,52519.2,309038.4,822076.8,1848153.6
2.83,2.600000000000001,6240.000000000003,4289.49,4.12,45209.4,302578.8,817317.6,1846795.2
2.83,2.700000000000001,6480.000000000003,4303.65,4.27,37899.0,296118.0,812556.0,1845432.0
2.83,2.800000000000001,6720.000000000003,4317.82,4.41,30589.2,289658.4,807796.8,1844073.6
2.83,2.9000000000000012,6960.000000000003,4331.99,4.55,23279.4,283198.8,803037.6,1842715.2
2.83,3.0000000000000013,7200.000000000004,4346.15,4.69,15969.0,276738.0,798276.0,1841352.0
2.92,0.6,1440.0,4016.92,1.05,190615.2,431630.4,913660.8,1877721.6
2.92,0.7,1680.0,4031.51,1.22,183090.6,424981.2,908762.4,1876324.8
2.92,0.7999999999999999,1919.9999999999998,4046.09,1.38,175565.4,418330.8,903861.6,1874923.2
2.92,0.8999999999999999,2160.0,4060.67,1.55,168040.2,411680.4,898960.8,1873521.6
2.92,0.9999999999999999,2399.9999999999995,4075.26,1.72,160515.6,405031.2,894062.4,1872124.8
